name,categories,prestige,points,pit_stop,start_type,field_type,parc_ferme,events_count,tags,init_month,init_day,registration_start_month,registration_start_day,registration_end_month,registration_end_day,start_year,end_year,default_included,intro
Indy NXT,F-USA_Gen3,81,"50, 40, 35, 32, 30, 28, 26, 24, 22, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",TRUE,rolling,identical,FALSE,12,"Open Wheel, North America, Indy",1,3,1,12,1,20,,,TRUE,"This championship is the highest tier of 'Road to Indy' competitions, but you'd be foolish to write this off as a feeder series. These American open-wheelers are straight-line missiles coated in carbon fibre and are no less capable than their Formula 2 relatives. They will demand precision and caution, as will your competing drivers, be prepared!"
Formula 3,F-3,80,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,TRUE,10,"Open Wheel, World, F1",1,3,1,12,1,20,,,TRUE,"This championship is where open-wheeled hopefuls come to prove themselves against all the other hottest prospects, as it follows most of the F2 and F1 calendar. The Dallara-built cars will separate those who can handle the faster Formula machines from those who can't, and if you impress here, you might find more doors opening towards the top."
British GT Championship,"GT3_Gen2, GT4",77,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,TRUE,8,"GT, United Kingdom",1,3,1,12,1,20,,,,"Welcome to a venerable sportscar championship, the field is well represented here with second gen GT3s, GT4s and some gruelling endurance trials. To be among the best here you have to be familiar not only with the demands of your car, but others around you, all while minding other packs of cars fighting in front and behind you. Keep your eyes open!"
Porsche Carrera Cup North America,Carrera Cup,74,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,TRUE,8,"GT, One Make, North America",1,3,1,12,1,21,,,,"Porsche's Cup series tests all participants very hard across the American circuits, the balance on some of these tracks can be on a knife edge, and you'll need to temper your straight-line braking to keep control of these 911 Cup Cars, they're not far behind their GT3 racing siblings in terms of pace!"
Porsche Carrera Cup UK,Carrera Cup,73,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,TRUE,8,"GT, One Make, United Kingdom",1,3,1,12,1,21,,,,"You'll be partaking in one of the most reputable one-make series across the UK's finest tracks, the Carrera Cup cars are all derived from either the 991 or 991.2 generation of Porsche 911 Cup cars, with their famously athletic rear-engined boxer sixes and rear wheel drives. The field will be close, and the benchmark is high here, keep your wits about you."
GT World Challenge Sprint,GT3_Gen2,72,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,,TRUE,6,"GT, SRO",1,3,1,12,1,21,,,,"This Sprint series will have you fighting for the chequered flag in the latest generation of GT3 racing cars, the drivers here will push you to the limit as much as the cars will. Have confidence in the downforce and grip that these cars can give you, and success in these brackets could pave the way to the top tier of endurance racing, if you want it."
Lamborghini Super Trofeo Europe,Super Trofeo,71,"15, 12, 10, 8, 6, 5, 4, 3, 2, 1",TRUE,rolling,,TRUE,6,"GT, One Make, Europe",1,3,1,12,1,21,,,TRUE,"The Huracan EVO2s may be a little more comfortable in their home region than across the Atlantic, but they're still ferocious straight-line machines that'll demand strong braking and the ability to get the nose pointed early to properly fling them out of the chicanes. Mind your markers and don't get too greedy on the brakes in this one-make series!"
Lamborghini Super Trofeo North America,Super Trofeo,69,"15, 12, 10, 8, 6, 5, 4, 3, 2, 1",TRUE,rolling,,TRUE,6,"GT, One Make, North America",1,3,1,12,1,21,,,,"This one-make series is a bridge between GT4 and GT3 racing, with aggressive Lamborghini Huracan EVO2s that will happily put the hammer down on the straights, but will need a firm hand in the slower sections; they're not as agile or planted as the GT3s. Take full advantage of the ABS and TC and be aware of getting squeezed on the tighter bends."
GT4 European Series,GT4,66,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,6,"GT, Europe, SRO",1,3,1,12,1,23,,,TRUE,"Flat sixes, V8s, V10s, FR, MR, you'll see it all with this GT4 competition, as it's very much like it's bigger brother series. No matter what you're driving in this field, you will have to maximise the package you're given, and be patient for opportunities even if the track doesn't favour your car, keep your nose clean and wait for right moment to pounce!"
FRECA,F-Inter,65,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,TRUE,10,"Open Wheel, Europe",1,3,1,12,1,21,,,,"This regional European championship is tucked well into the middle of Formula 3 and 4, and the F4 spec cars you'll be racing against are capable of some very quick laptimes, you don't have a massive amount of power here, but neither do your opponents. Remember, smooth inputs, carry your speed through the slower sections and bag those points."
USF Pro 2000,F-3,62,"30, 25, 22, 19, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,rolling,,FALSE,10,"Open Wheel, North America",1,3,1,12,1,21,,,,"Get ready for a power to weight ratio of 464 hp/tonne, gritty oval racing, serpentine GP tracks and the tight-knit racing that Formula 3 machines bring to the table. The Dallara F301s and F309s in this field are very evenly matched, with the latter only featuring slightly better aero and an extra gear in their box. But a good driver is the difference maker here."
Radical Cup North America,P4,61,"40,35,30,27,24,22,20,16,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,TRUE,6,"Prototype, North America",1,3,1,12,1,21,,,TRUE,"The North American arm of the Radical Cup is as intense and electric a racing competition as the European division, the MCR S2000 is the star weighing only 525kg, and will require you to be smooth and precise with 217hp under it. The American circuits will present as tough a challenge as your opponents will, so make sure you're in harmony with the car!"
GT4 America,GT4,61,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,7,"GT, North America, SRO",1,3,1,12,1,23,,,TRUE,"Welcome to a strongly competitive GT4 contest, the cars in this class are not too far removed from road cars, but all feature well over 400 horsepower, track tyres and significantly lighter frames than their domestic siblings. The calibre of competition in this division is often a big step-up from club sports and one-makes. Be prepared for some tough battles."
Radical Cup Europe,P4,60,"40,35,30,27,24,22,20,16,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,TRUE,6,"Prototype, Europe",1,3,1,12,1,21,,,,"The Radical Cup features a fairly traditional format, with the MCRs on the grid resembling Group 6 cars, these 2.0 litre, tube-framed machines weigh less than a Formula Vee, but are much more potent off the line. Be aware of the liftoff oversteer in these cars, use the throttle to keep it under control, and bring it home in smooth fashion!"
Formula 4 Southern Europe,F-Trainer_A,59,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,TRUE,6,"Open Wheel, Europe",1,3,1,12,1,22,,,,"Prepare for a Mediterranean tour with the Formula Trainer Advanced, these circuits are well suited to getting the twitchy back end out, and snatching positions with well-timed switchbacks. Concentrate in the esses, pick your placement carefully during some of the longer straights, and don't be bullied off the track if you want to clear your rivals."
GT Revival Series,GT1_05,58,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,,FALSE,5,"GT, SRO",1,3,1,12,1,22,,,,"This classic format will see you racing against many legendary GT1 machines on some of their equally famous tracks, these cars are still fierce, large-displacement machines , and will throw nearly 600hp at the road with barely any driver aids! Be prepared for combative racing, but remember the cost in the pits if you get too eager in wheel-to-wheel."
Formula 4 UK,F-Trainer_A,57,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,TRUE,10,"Open Wheel, United Kingdom",1,3,1,12,1,22,,,,"This Formula 4 series has a larger calendar than the continental series, so focus on scoring consistent points and keeping the Formula Trainer Advanced out of the wars. It's a delicate machine, and you can always claw back better points on the following races, so don't be too keen to bang wheels off the start line!"
Formula 4 Northern Europe,F-Trainer_A,55,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,TRUE,6,"Open Wheel, Europe",1,3,1,12,1,22,,,,"Time for an Atlantic-facing competition with the Formula Trainer Advanced, just as with the USFJ category, the Formula 4 series is all about finding mechanical grip in a twitchy open-wheeler. Take care not to overheat the slick rubber, if you lose the window, you'll find yourself falling back."
USF2000,F-Inter,52,"30, 25, 22, 19, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,rolling,,FALSE,9,"Open Wheel, North America",1,3,1,12,1,22,,,,"Welcome to the natural evolution of Kart Racing, These F4 Grade cars aren't very powerful with sub 200hp, but they're an excellent midway between Karts and faster Formulas. It's all about balance with these cars, they're light, lively and fantastic for refining both your offensive and defensive racing."
IMSA Michelin Pilot Challenge,"GT4, MiniChallenge",50,"350, 320, 300, 280, 260, 250, 240, 230, 220, 210, 200, 190, 180, 170, 160, 150, 140, 130, 120, 110, 100, 90, 80, 70, 60, 50, 40, 30, 20, 10",TRUE,rolling,,TRUE,11,"GT, Multiclass, North America, IMSA",1,3,1,12,1,22,,,,"This US competition throws Touring Cars into the ring with a field of GT4 cars, for some hard multi-class racing between very different machinery. The GT4s are much faster than their TC counterparts, but no matter what car you're in, keeping pace without causing a crash is key, the season is long, and consistency is the winner."
Michelin Le Mans Cup,"GT3, P1Gen2",47,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,TRUE,6,"GT, Multiclass, Europe, WEC",1,3,1,12,1,22,,,,"This championship is a smaller endurance format than the likes of WEC or IMSA, but still has the classic tracks, prototypes, GT3s and pit strategies to whet your appetite. These machines have lots of downforce, setup potential, and if treated with respect, can be surprisingly forgiving and easy to drive. Just make sure you have enough in the tank!"
USF Juniors,F-Trainer_A,44,"30, 25, 22, 19, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,FALSE,8,"Open Wheel, North America",1,3,1,12,1,22,,,,"The Formula Trainer Advanced series is bigger, faster and broader than the lower divisions, giving you more power and slick tyres, and expecting more from you in turn, with full length tracks and much more to lose if you mess it up. Preserving your momentum on exit and finding that balance with the nose and the grip is still paramount here."
IMSA VP Racing SportsCar Challenge,"P1Gen2, GT3, GT4",42,"350, 320, 300, 280, 260, 250, 240, 230, 220, 210, 200, 190, 180, 170, 160, 150, 140, 130, 120, 110, 100, 90, 80, 70, 60, 50, 40, 30, 20, 10",FALSE,rolling,,TRUE,11,"GT, Multiclass, North America, Prototype, IMSA",1,3,1,12,1,23,,,,"This multi-class sprint series is a good introduction to professional endurance racing, which is reflected in the variety of cars featured, with Prototypes, GT3s and GT4s all fighting their own battles at the same time. Traffic awareness and preparation is critical here, mind your overtakes and your mirrors, and stay out of trouble if you want to win!"
National Formula Ford Championship,F-Trainer,41,"30, 27, 24,22,20,18,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,8,"Open Wheel, United Kingdom",1,3,1,12,1,23,,,,"The Formula Trainers in this spec series are much like their cousins in the American division: light, sensitive to bumps, and good teachers for your concentration and ability to find grip, when the car isn't helping with wings or limited slip diffs. The corners on these UK tracks will reward you if you can use the sensitivity to your advantage."
Ligier European Series,LES_2025,39,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,identical,TRUE,6,"Prototype, Europe",1,3,1,12,1,23,,,,"This exclusive series might deceive at first, but the Ligiers are not trackday tourist cars, hard slicks, an endurance fuel tank and over 350hp will quickly disabuse you of that notion! The cars reflect the competition; full sized circuits, keen drivers and a comprehensive examination of how you keep a fast, mid-engined car on the track and in the points."
Mini Challenge,MiniChallenge,38,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,FALSE,6,"GT, One Make, United Kingdom",1,3,1,12,1,23,,,,"This popular support series for British Touring Cars will see you behind the wheel of a MINI Cooper JCW, if this is your first taste of hot hatches, expect understeer, scrappy handling and fierce power through the corners. Get it turned in early, keep up the momentum and make full use of what you've got, these cars expect to be driven hard."
F1600,F-Trainer,35,"50,42,37,34,31,29,27,25,23,21,19,17,15,13,11,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,7,"Open Wheel, North America",1,3,1,12,1,23,,,,"The Formula Trainers you'll encounter in this American Spec Series are a proper appetiser for Formula racing, they can be thrown around a fair bit on the track, and won't bite too hard if you overdo it; but you won't go anywhere quickly. There're no wings to keep you planted on the road, and the mechanical grip is low, keep it controlled, and you'll win."
Ginetta Junior Championship UK,G40Cup,34,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,FALSE,6,"GT, One Make, United Kingdom",1,3,1,12,1,23,,,,"The home series for the Ginetta G40 Cup you'll be racing, this is where the car was designed, tested and it's 1.8L Zetec engine stressed to the breaking point. So expect similarly fierce and gritty racing on the UK's sportscar tracks. Much like the European series, conditions can change exceptionally quickly on these tracks, if you can handle it, so can the car."
Formula Vee UK,F-Vee_Gen2,34,"25,22,20,18,16,14,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"Open Wheel, United Kingdom",1,3,1,12,1,23,,,,"The twisty, rollercoaster rides of the UK series are an appropriate match for the Formula Vees; with locked differentials, twitchy handling and road rubber, you'll have your hands full making it to the finish line. Plan ahead, stick to your lines through the curves, and don't be tempted into any shoving matches, these nimble machines are delicate!"
Ginetta Junior Championship Europe,G40Cup,32,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,FALSE,6,"GT, One Make, Europe",1,3,1,12,1,23,,,,"The European front for this spec series tests how well you keep a sub-1000kg four-pot in the points, only in this one you'll be pushing the G40 Cup across a variety of continental classics, then it's all about putting together what you've built up in preparation for a full circuit race at the end. Straight nose on the exits and watch out for any divebombs!"
Formula Vee Germany,F-Vee_Gen2,32,"25,22,20,18,16,14,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"Open Wheel, Europe",1,3,1,12,1,23,,,,"Welcome to the German tour for Formula Vee, a series well suited to the capricious weather you can expect to encounter on the tracks here. Fortunately the Vee's come with road-going all-weather tyres, so rain or shine, you'll still be expected to balance the slippery rears and just shy of 100hp in racing machines that weigh less than a Smart Car!"
Ginetta Junior Championship North America,G40Cup,30,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,FALSE,6,"GT, North America, One Make",1,3,1,12,1,23,,,,"This spec sports car series is all about picking your lines and feeling the flow-state of transferring weight from one corner to the next, the Ginettas may be small, but they're nimble and as well-equipped as any hardcore racing car ought to be. You may be thankful of the FR layout and Limited Slip Diff when plunging down tight corkscrews and bends."
Formula Vee North America,F-Vee_Gen2,30,"25,21,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"Open Wheel, North America",1,3,1,12,1,23,,,,"A taste of single-seater racing awaits with a tour across some American greats, you may be surprised to find a humble 4-pot road engine and 5-speed box under the cover of these lightweight racers, but underestimate them and be prepared to face the gravel. The swing-axles on the rear will challenge your sense of road feel, and your patience with the throttle!"
Superkart Summer Series,SuperKart,15,"10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"Kart, Open Wheel",1,3,1,12,1,23,,,,"The fastest, most challenging karting series, where aerodynamics come into major play with sleek surfaces and big wings. These machines demand courage, with over 90 horsepower pushing them along, six gears, and only coming in at 220Kg on the track."
125cc Kart Amateur Series,Kart125cc,5,"10,8,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"Kart, Open Wheel",1,3,1,12,1,23,,,,"More power, less weight and no bumpers, this is a step into real competitive karting. It's the perfect place to do battle with other hopefuls looking to refine their racecraft, test their mettle and take advantage of the extra agility this series affords compared to amateur karting."
Local Kart Rental Series,KartRental,0,"10,8,6,4,2,1",FALSE,standing,,FALSE,6,"Kart, Open Wheel",1,3,1,12,1,23,,,,"Welcome to the beginning, these karts are simple, slow and their single-cylindered engines turn out a modest 12 horsepower, but don't let that fool you, many greats first learned to appreciate a mid-engined, rear-wheel driving experience in such machinery. Learn your lines, your braking points, bring it home and you'll go far!"
