team_name,category,model,livery,championship_names,livery_id,model_folder
Pennine Raceworks,P1Gen2,MetalMoro AJR Gen2 Nissan,MM AJR Nissan Gen2 #36,"European Le Mans Series, Michelin Le Mans Cup",53,metalmoro_ajr_gen2
Pennine Raceworks,LES_2025,Ligier JS2 R,Ligier JS2 R #00,Ligier European Series,51,ligier_js2r
Pennine Raceworks,LES_2025,Ligier JS2 R,Ligier JS2 R #01,Ligier European Series,52,ligier_js2r
Pennine Raceworks,P1Gen2,MetalMoro AJR Gen2 Nissan,MM AJR Nissan Gen2 #66,"European Le Mans Series, Michelin Le Mans Cup",54,metalmoro_ajr_gen2
Alpine,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Team Virystone #15,Formula 1,54,formula_ultimate_2024
Alpine,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Team Virystone #2,Formula 1,53,formula_ultimate_2024
Alpine,F-Reiza,Formula V8 Gen3,Team Virystone #11,Formula 2,61,formula_reiza
Alpine,F-Reiza,Formula V8 Gen3,Team Virystone #12,Formula 2,62,formula_reiza
Alpine,F-3,Dallara F309,Mellow Motorsports #7 - L.Nogueira Skin,Formula 3,54,f309
Alpine,F-3,Dallara F309,Pacific G.P. #37 - T.Emanuel Skin,Formula 3,63,f309
Alpine Track Operations,LMP2_Gen1,Oreca 07,Oreca 07 #15,European Le Mans Series,51,oreca_07
Alpine Track Operations,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #55,Lamborghini Super Trofeo Europe,67,lamborghini_huracan_supertrofeo_evo2
Alpine Track Operations,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #64,Lamborghini Super Trofeo Europe,68,lamborghini_huracan_supertrofeo_evo2
Alpine Track Operations,LMDh,Alpine A424,Alpine A424 #36,World Endurance Championship,51,alpine_a424
Alpine Track Operations,LMDh,Alpine A424,Alpine A424 #37,World Endurance Championship,52,alpine_a424
Alpine Track Operations,GT3,McLaren 720S GT3,McLaren 720S GT3 #04,"European Le Mans Series, Michelin Le Mans Cup",51,mclaren_720s_gt3
Alpine Track Operations,GT3,McLaren 720S GT3,McLaren 720S GT3 #12,"European Le Mans Series, Michelin Le Mans Cup",52,mclaren_720s_gt3
Alpine Track Operations,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #59,"Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",56,mclaren_720s_gt3_evo
Alpine Track Operations,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #41,"Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",55,mclaren_720s_gt3_evo
Alpine Track Operations,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #36,Nürburgring Langstrecken-Serie,51,alpine_a110_gt4_evo
Alpine Track Operations,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #63,Nürburgring Langstrecken-Serie,53,alpine_a110_gt4_evo
Alpine Track Operations,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #22,Michelin Le Mans Cup,54,ginetta_g58_gen2
Alpine Track Operations,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #01,Ginetta Junior Championship Europe,51,ginetta_g40_cup
Alpine Track Operations,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #02,Ginetta Junior Championship Europe,52,ginetta_g40_cup
Alpine Track Operations,P4,MCR S2000,MCR S2000 #5,Radical Cup Europe,54,mcr2000
Alpine Track Operations,P4,MCR S2000,MCR S2000 #6,Radical Cup Europe,55,mcr2000
Alpine Track Operations,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #21,"European Le Mans Series, Michelin Le Mans Cup",53,ginetta_g58_gen2
Alpine Track Operations,LES_2025,Ligier JS2 R,Ligier JS2 R #02,Ligier European Series,53,ligier_js2r
Alpine Track Operations,LES_2025,Ligier JS2 R,Ligier JS2 R #03,Ligier European Series,54,ligier_js2r
Alpine Track Operations,P1Gen2,Ginetta G58 Gen2,Ginetta G58 Gen2 #20,European Le Mans Series,52,ginetta_g58_gen2
Andretti Global,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #01 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, World Endurance Championship",51,cadillac_v-series_r
Andretti Global,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #31 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, World Endurance Championship",52,cadillac_v-series_r
Andretti Global,F-USA_2023,Formula USA 2023,F-USA 2023 #23,NTT IndyCar,72,formula_usa_2023
Andretti Global,F-USA_2023,Formula USA 2023,F-USA 2023 #01,NTT IndyCar,52,formula_usa_2023
Andretti Global,F-USA_2023,Formula USA 2023,F-USA 2023 #17,NTT IndyCar,68,formula_usa_2023
Andretti Global,F-3,Dallara F309,Granado Racing #59,USF Pro 2000,64,f309
Andretti Global,F-3,Dallara F309,GRNDWRK Racing #18 - R.Souza Skin,USF Pro 2000,59,f309
Andretti Global,F-Inter,Formula Inter MG-15,F.Inter MG-15 #11,USF2000,59,formula_inter
Andretti Global,F-Inter,Formula Inter MG-15,F.Inter MG-15 #12,USF2000,60,formula_inter
Andretti Global,F-Trainer_A,Formula Trainer Advanced,Formula Trainer A #23 - N.Otten Skin,USF Juniors,73,formula_trainer_d
Andretti Global,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #1,USF Juniors,51,formula_trainer_d
Andretti Global,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #13 (IMSA 2024),"GT World Challenge America, GT World Challenge Sprint, World Endurance Championship, IMSA WeatherTech SportsCar Championship",53,corvette_z06_gt3r
Andretti Global,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #17 (IMSA 2024),"GT World Challenge America, GT World Challenge Sprint, World Endurance Championship, IMSA WeatherTech SportsCar Championship",54,corvette_z06_gt3r
Apex Precision Competizione,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #20,"Porsche Carrera Supercup, Porsche Carrera Cup North America",55,porsche_991_gt3_2
Apex Precision Competizione,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #29,"Porsche Carrera Supercup, Porsche Carrera Cup North America",56,porsche_991_gt3_2
Apex Precision Competizione,GT3_Gen2,Porsche 992 GT3 R,Porsche 992 GT3 R #43 (IMSA 2024),GT World Challenge Sprint,51,porsche_992_gt3r
Apex Precision Competizione,GT3_Gen2,Porsche 992 GT3 R,Porsche 992 GT3 R #92 (IMSA 2024),GT World Challenge Sprint,54,porsche_992_gt3r
Apex-Works North,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #27,"Mini Challenge, IMSA Michelin Pilot Challenge",63,mini_cooper
Apex-Works North,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #28,"Mini Challenge, IMSA Michelin Pilot Challenge",64,mini_cooper
Apex-Works North,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #32,Ginetta Junior Championship UK,61,ginetta_g40_cup
Apex-Works North,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #34,Ginetta Junior Championship UK,62,ginetta_g40_cup
Aragon Motorsport United,F-Inter,Formula Inter MG-15,F.Inter MG-15 #3a,FRECA,51,formula_inter
Aragon Motorsport United,F-Inter,Formula Inter MG-15,F.Inter MG-15 #3b,FRECA,55,formula_inter
Aragon Motorsport United,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #18,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",68,formula_trainer_d
Aragon Motorsport United,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #19,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",69,formula_trainer_d
Aragon Motorsport United,F-Trainer,Formula Trainer,Formula Trainer #20,National Formula Ford Championship,70,formula_trainer
Aragon Motorsport United,F-Trainer,Formula Trainer,Formula Trainer #21 - J.Ramos Skin,National Formula Ford Championship,71,formula_trainer
Arcane Racing Group,LMP2_Gen1,Ligier JS P217,Ligier JS P217 #31,European Le Mans Series,52,ligier_js_p217
Arcane Racing Group,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #72,Lamborghini Super Trofeo Europe,71,lamborghini_huracan_supertrofeo_evo2
Arcane Racing Group,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #77,Lamborghini Super Trofeo Europe,72,lamborghini_huracan_supertrofeo_evo2
Arcane Racing Group,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #5,World Endurance Championship,53,cadillac_v-series_r
Arcane Racing Group,LMDh,Cadillac V-Series.R,Cadillac V-Series.R #9,World Endurance Championship,54,cadillac_v-series_r
Arcane Racing Group,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #3 (IMSA 2024),"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",51,corvette_z06_gt3r
Arcane Racing Group,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #4 (IMSA 2024),"World Endurance Championship, Intercontinental GT Challenge, GT World Challenge Europe, Nürburgring Langstrecken-Serie",52,corvette_z06_gt3r
Arcane Racing Group,GT4,Chevrolet Camaro GT4.R,Camaro GT4.R #49,"Nürburgring Langstrecken-Serie, GT4 European Series",51,camaro_gt4r
Arcane Racing Group,GT4,Chevrolet Camaro GT4.R,Camaro GT4.R #53,"Nürburgring Langstrecken-Serie, GT4 European Series",52,camaro_gt4r
Arcane Racing Group,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #79,"European Le Mans Series, Michelin Le Mans Cup",53,audi_r8_lms_gt3
Arcane Racing Group,GT3,Audi R8 LMS GT3,Audi R8 LMS GT3 #86,"European Le Mans Series, Michelin Le Mans Cup",54,audi_r8_lms_gt3
Arcane Racing Group,P1Gen2,Ligier JS P320,Ligier JS P320 #33,Michelin Le Mans Cup,54,ligier_js_p320
Arcane Racing Group,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #10,Ginetta Junior Championship Europe,55,ginetta_g40_cup
Arcane Racing Group,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #17,Ginetta Junior Championship Europe,56,ginetta_g40_cup
Arcane Racing Group,P4,MCR S2000,MCR S2000 #9,Radical Cup Europe,57,mcr2000
Arcane Racing Group,P4,MCR S2000,MCR S2000 #10,Radical Cup Europe,58,mcr2000
Arcane Racing Group,P1Gen2,Ligier JS P320,Ligier JS P320 #7,"European Le Mans Series, Michelin Le Mans Cup",51,ligier_js_p320
Arcane Racing Group,LES_2025,Ligier JS2 R,Ligier JS2 R #04,Ligier European Series,55,ligier_js2r
Arcane Racing Group,LES_2025,Ligier JS2 R,Ligier JS2 R #05,Ligier European Series,56,ligier_js2r
Arcane Racing Group,P1Gen2,Ligier JS P320,Ligier JS P320 #117,European Le Mans Series,55,ligier_js_p320
Aston Martin,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Bond G.P. #3,Formula 1,55,formula_ultimate_2024
Aston Martin,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Bond G.P. #5,Formula 1,56,formula_ultimate_2024
Aston Martin,F-Reiza,Formula V8 Gen3,Reizoil G.P. #24,Formula 2,73,formula_reiza
Aston Martin,F-Reiza,Formula V8 Gen3,Reizoil G.P. #25,Formula 2,74,formula_reiza
Aston Martin,F-3,Dallara F309,Index Racing #77 - R.Cascaes Skin,Formula 3,65,f309
Aston Martin,F-3,Dallara F309,Luminis Engineering #34,Formula 3,62,f309
Astraea Endurance,P1Gen2,Sigma P1 G5,Sigma P1 G5 #85,Michelin Le Mans Cup,54,sigma_p1_g5
Astraea Endurance,P1Gen2,Ligier JS P320,Ligier JS P320 #117,Michelin Le Mans Cup,55,ligier_js_p320
Astraea Endurance,LES_2025,Ligier JS2 R,Ligier JS2 R #06,Ligier European Series,57,ligier_js2r
Astraea Endurance,LES_2025,Ligier JS2 R,Ligier JS2 R #07,Ligier European Series,58,ligier_js2r
Astraea Endurance,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #46,Ginetta Junior Championship Europe,65,ginetta_g40_cup
Astraea Endurance,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #58,Ginetta Junior Championship Europe,68,ginetta_g40_cup
Astraea Endurance,P4,MCR S2000,MCR S2000 #19,Radical Cup Europe,66,mcr2000
Astraea Endurance,P4,MCR S2000,MCR S2000 #30,Radical Cup Europe,75,mcr2000
Atlantic Racing Union,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #77,"IMSA Michelin Pilot Challenge, Mini Challenge",71,mini_cooper
Atlantic Racing Union,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #85,"IMSA Michelin Pilot Challenge, Mini Challenge",72,mini_cooper
Atlantic Racing Union,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #62,"Ginetta Junior Championship UK, Ginetta Junior Championship North America, Ginetta Junior Championship Europe",69,ginetta_g40_cup
Atlantic Racing Union,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #66,"Ginetta Junior Championship UK, Ginetta Junior Championship North America, Ginetta Junior Championship Europe",70,ginetta_g40_cup
Atlas Racing Group,GT3_Gen2,Lamborghini Huracan GT3 EVO2,Lamborghini Huracan GT3 EVO2 #45 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, British GT Championship, GT World Challenge America, GT World Challenge Sprint",52,lamborghini_huracan_gt3_evo2
Atlas Racing Group,GT3_Gen2,McLaren 720S GT3 Evo,McLaren 720S GT3 Evo #41,"IMSA WeatherTech SportsCar Championship, British GT Championship, GT World Challenge America, GT World Challenge Sprint",55,mclaren_720s_gt3_evo
Atlas Racing Group,GT4,Audi R8 LMS GT4,Audi R8 LMS GT4 #12,"IMSA Michelin Pilot Challenge, GT4 America",52,audi_r8_lms_gt4
Atlas Racing Group,GT4,Audi R8 LMS GT4,Audi R8 LMS GT4 #15,"IMSA Michelin Pilot Challenge, GT4 America",53,audi_r8_lms_gt4
Atlas Racing Group,GT3,McLaren 720S GT3,McLaren 720S GT3 #04,IMSA VP Racing SportsCar Challenge,51,mclaren_720s_gt3
Atlas Racing Group,GT3,McLaren 720S GT3,McLaren 720S GT3 #12,IMSA VP Racing SportsCar Challenge,52,mclaren_720s_gt3
Atlas Racing Group,P4,MCR S2000,MCR S2000 #15,Radical Cup North America,63,mcr2000
Atlas Racing Group,P4,MCR S2000,MCR S2000 #29,Radical Cup North America,74,mcr2000
Audi,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Zir-Win Motorsport #17,Formula 1,61,formula_ultimate_2024
Audi,F-Ultimate_Gen2,Formula Ultimate Hybrid Gen3,Zir-Win Motorsport #28,Formula 1,62,formula_ultimate_2024
Audi,F-Reiza,Formula V8 Gen3,Zir-Win Motorsport #1,Formula 2,51,formula_reiza
Audi,F-Reiza,Formula V8 Gen3,Zir-Win Motorsport #2,Formula 2,52,formula_reiza
Audi,F-3,Dallara F309,Power On Racing #86,Formula 3,67,f309
Audi,F-3,Dallara F309,Prop Racing #17,Formula 3,58,f309
Bayside Trackside Services,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #50,Ginetta Junior Championship North America,66,ginetta_g40_cup
Bayside Trackside Services,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #53,Ginetta Junior Championship North America,67,ginetta_g40_cup
Blackwood Racing Systems,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #14,"Porsche Carrera Supercup, Porsche Carrera Cup UK, Porsche Carrera Cup North America",54,porsche_991_gt3_2
Blackwood Racing Systems,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #16,"Porsche Carrera Supercup, Porsche Carrera Cup UK, Porsche Carrera Cup North America",54,porsche_991_gt3
Blue Ridge Mini Team,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #1,"IMSA Michelin Pilot Challenge, Mini Challenge",52,mini_cooper
Blue Ridge Mini Team,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #3,"IMSA Michelin Pilot Challenge, Mini Challenge",53,mini_cooper
Breakell-Lane Engineering,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #32,Mini Challenge,65,mini_cooper
Breakell-Lane Engineering,MiniChallenge,MINI Cooper JCW,MINI Cooper JCW #60,Mini Challenge,68,mini_cooper
Breakell-Lane Engineering,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #38,Ginetta Junior Championship UK,63,ginetta_g40_cup
Breakell-Lane Engineering,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #42,Ginetta Junior Championship UK,64,ginetta_g40_cup
Brickyard Performance Lab,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #55,Lamborghini Super Trofeo North America,67,lamborghini_huracan_supertrofeo_evo2
Brickyard Performance Lab,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #64,Lamborghini Super Trofeo North America,68,lamborghini_huracan_supertrofeo_evo2
Brickyard Performance Lab,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #65,Porsche Carrera Cup North America,57,porsche_991_gt3
Brickyard Performance Lab,Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #70,Porsche Carrera Cup North America,59,porsche_991_gt3_2
Brickyard Performance Lab,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #17,Ginetta Junior Championship North America,56,ginetta_g40_cup
Brickyard Performance Lab,G40Cup,Ginetta G40 Cup,Ginetta G40 Cup #22,Ginetta Junior Championship North America,57,ginetta_g40_cup
Cape Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #16,USF Juniors,66,formula_trainer_d
Cape Motorsports,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #17,USF Juniors,67,formula_trainer_d
Cape Motorsports,F-Trainer,Formula Trainer,Formula Trainer #20,F1600,70,formula_trainer
Cape Motorsports,F-Trainer,Formula Trainer,Formula Trainer #21 - J.Ramos Skin,F1600,71,formula_trainer
Cape Motorsports,F-Vee_Gen2,Formula Vee Gen2,David D'amico #77,Formula Vee North America,62,formula_vee_gen2
Cape Motorsports,F-Vee_Gen2,Formula Vee Gen2,Gabriel Andrade #99,Formula Vee North America,64,formula_vee_gen2
Catalyst Motorsports,GT3_Gen2,Chevrolet Corvette Z06 GT3.R,Chevrolet Corvette Z06 GT3.R #3 (IMSA 2024),"IMSA WeatherTech SportsCar Championship, British GT Championship, GT World Challenge America",51,corvette_z06_gt3r
Catalyst Motorsports,GT3_Gen2,Porsche 992 GT3 R,Porsche 992 GT3 R #14,"IMSA WeatherTech SportsCar Championship, British GT Championship, GT World Challenge America",56,porsche_992_gt3r
Catalyst Motorsports,LMP2,Oreca 07,Oreca 07 #18 (IMSA 2024),IMSA WeatherTech SportsCar Championship,55,oreca_07
Catalyst Motorsports,LMP2,Oreca 07,Oreca 07 #99 (IMSA 2024),IMSA WeatherTech SportsCar Championship,62,oreca_07
Catalyst Motorsports,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #36,"IMSA Michelin Pilot Challenge, GT4 America",51,alpine_a110_gt4_evo
Catalyst Motorsports,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #63,"IMSA Michelin Pilot Challenge, GT4 America",53,alpine_a110_gt4_evo
Catalyst Motorsports,GT3,BMW M6 GT3,BMW M6 GT3 #11,IMSA VP Racing SportsCar Challenge,52,bmw_m6_gt3
Catalyst Motorsports,GT3,BMW M6 GT3,BMW M6 GT3 #61,IMSA VP Racing SportsCar Challenge,53,bmw_m6_gt3
Catalyst Motorsports,P4,MCR S2000,MCR S2000 #13,Radical Cup North America,61,mcr2000
Catalyst Motorsports,P4,MCR S2000,MCR S2000 #14,Radical Cup North America,62,mcr2000
Cavalieri Rosso Group,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #22,"Lamborghini Super Trofeo North America, Lamborghini Super Trofeo Europe",57,lamborghini_huracan_supertrofeo_evo2
Cavalieri Rosso Group,Super Trofeo,Lamborghini Huracan Super Trofeo EVO2,Lamborghini Huracan Super Trofeo EVO2 #25,"Lamborghini Super Trofeo North America, Lamborghini Super Trofeo Europe",58,lamborghini_huracan_supertrofeo_evo2
Cavalieri Rosso Group,GT1_05,Milano GT55,Milano GT55 #11,GT Revival Series,53,milano_gt55
Cavalieri Rosso Group,GT1_05,Milano GT55,Milano GT55 #13,GT Revival Series,54,milano_gt55
Cavalieri Rosso Group,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #64,GT4 European Series,54,alpine_a110_gt4_evo
Cavalieri Rosso Group,GT4,Alpine A110 GT4 Evo,Alpine A110 GT4 Evo #65,GT4 European Series,55,alpine_a110_gt4_evo
Chip Ganassi Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #34,NTT IndyCar,75,formula_usa_2023
Chip Ganassi Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #00,NTT IndyCar,51,formula_usa_2023
Chip Ganassi Racing,F-USA_2023,Formula USA 2023,F-USA 2023 #62,NTT IndyCar,79,formula_usa_2023
Chip Ganassi Racing,F-USA_Gen3,Lola B2K00 Mercedes-Benz,Lola B2K00 Mercedes-Benz #12,Indy NXT,51,cart_lola_b2k00_mercedes
Chip Ganassi Racing,F-USA_Gen3,Lola B2K00 Mercedes-Benz,Lola B2K00 Mercedes-Benz #13,Indy NXT,52,cart_lola_b2k00_mercedes
Chip Ganassi Racing,F-3,Dallara F309,Cesare Racing #5,USF Pro 2000,52,f309
Chip Ganassi Racing,F-3,Dallara F309,Formula Sport #8,USF Pro 2000,55,f309
Circuitus Legacy Racing,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #98,"Porsche Carrera Supercup, Porsche Carrera Cup North America",62,porsche_991_gt3
Circuitus Legacy Racing,Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #00,"Porsche Carrera Supercup, Porsche Carrera Cup North America",52,porsche_991_gt3
Cote d'Azur Competizione,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #6,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",56,formula_trainer_d
Cote d'Azur Competizione,F-Trainer_A,Formula Trainer Advanced,Formula Trainer Advance #7,"Formula 4 UK, Formula 4 Northern Europe, Formula 4 Southern Europe",57,formula_trainer_d
Cote d'Azur Competizione,F-Trainer,Formula Trainer,Formula Trainer #6,National Formula Ford Championship,56,formula_trainer
Cote d'Azur Competizione,F-Trainer,Formula Trainer,Formula Trainer #7,National Formula Ford Championship,57,formula_trainer
Cote d'Azur Competizione,F-Vee_Gen2,Formula Vee Gen2,Andre Crocci #6,"Formula Vee UK, Formula Vee Germany",54,formula_vee_gen2
Cote d'Azur Competizione,F-Vee_Gen2,Formula Vee Gen2,Davi Osachuki #35,"Formula Vee UK, Formula Vee Germany",60,formula_vee_gen2
Cote d'Azur Competizione,KartRental,Kart 4-Stroke Rental,Kart 4-Stroke Rental #00,Local Kart Rental Series,51,kart_gx390_rental
Cote d'Azur Competizione,KartRental,Kart 4-Stroke Rental,Kart 4-Stroke Rental #01,Local Kart Rental Series,52,kart_gx390_rental
Cote d'Azur Competizione,Kart125cc,Kart 2-Stroke 125cc Direct,Kart 2-Stroke 125cc Direct #12,125cc Kart Amateur Series,56,kart_01
Cote d'Azur Competizione,Kart125cc,Kart 2-Stroke 125cc Direct,Kart 2-Stroke 125cc Direct #13,125cc Kart Amateur Series,57,kart_01
